Annee;Pouvoir achat;Codes
2021;2.6;A
2020;-4.2;A
2019;0.6;A
2018;0.3;A
2017;1.2;A
2016;0.3;A
2015;1.1;A
2014;0.4;A
2013;-0.1;A
2012;-0.5;A
2011;0.3;A
2010;0.6;A
2009;1.3;A
2008;0.4;A
2007;1.6;A
2006;0.0;A
2005;1.1;A
2004;0.0;A
2003;-0.2;A
2002;0.4;A
2001;0.4;A
2000;0.5;A
1999;1.6;A
1998;1.1;A
1997;0.9;A
1996;-0.5;A
1995;0.8;A
1994;0.0;A
1993;0.3;A
1992;0.3;A
1991;0.3;A
1990;1.8;A
1989;0.8;A
1988;0.2;A
1987;-0.4;A
1986;2.6;A
1985;1.2;A
1984;-0.3;A
1983;0.9;A
1982;1.7;A
1981;-0.2;A
1980;0.4;A
1979;-2.1;A
1978;3.8;A
1977;1.1;A
1976;5.3;A
1975;2.7;A
1974;3.0;A
1973;4.4;A
1972;3.7;A
1971;5.0;A
1970;3.8;A
1969;4.3;A
1968;5.6;A
1967;2.5;A
1966;3.3;A
1965;3.6;A
